Liverpool, 20, 0
Albert Dock,S,7,100.000000,15.000000,6.000000,-2.992700,53.400300
Alexandra Dock,N,4,100.000000,15.000000,6.000000,-3.012000,53.447400
Brocklebank Dock,N,6,100.000000,15.000000,6.000000,-3.006500,53.441200
Canada Dock,N,8,100.000000,15.000000,6.000000,-3.005000,53.436500
Canning Dock,S,4,100.000000,15.000000,6.000000,-2.991800,53.402600
Canning Half Tide Dock,S,6,100.000000,15.000000,6.000000,-2.993700,53.401800
Carrier Dock,N,7,100.000000,15.000000,6.000000,-3.002700,53.440300
Dukes Dock,S,9,100.000000,15.000000,6.000000,-2.990700,53.398800
George's Basin,S,1,100.000000,15.000000,6.000000,-2.996800,53.406300
George's Dock,S,2,100.000000,15.000000,6.000000,-2.995400,53.405000
Gladstone Dock,N,2,100.000000,15.000000,6.000000,-3.018900,53.454900
Hornby Dock,N,3,100.000000,15.000000,6.000000,-3.012900,53.451800
Huskisson Dock,N,9,100.000000,15.000000,6.000000,-3.005200,53.431600
King's Dock,S,10,100.000000,15.000000,6.000000,-2.990000,53.396700
Langton Dock,N,5,100.000000,15.000000,6.000000,-3.009200,53.443600
Manchester Dock,S,3,100.000000,15.000000,6.000000,-2.994900,53.403100
Old Dock,S,5,100.000000,15.000000,6.000000,-2.988600,53.402500
Salthouse Dock,S,8,100.000000,15.000000,6.000000,-2.989800,53.400600
Sandon Dock,N,10,100.000000,15.000000,6.000000,-3.001500,53.428300
Seaforth Dock,N,1,100.000000,15.000000,6.000000,-3.025000,53.458200
